,２内全（文１）,２内全（文２）,２内全（文３）,２内全（理１）,２内全（理２）,２内全（理３）
法学部,0.049,3.947,18.326,2.223,10.072,0.0
経済学部,5.111,0.0,0.031,5.169,7.689,0.0
A群（思想文化）,1.054,3.695,0.0,3.066,4.146,0.039
B群（歴史文化_日本史学）,0.104,2.366,0.079,0.774,0.261,0.001
C群（歴史文化_東洋史学）,0.077,4.271,0.0,0.14,0.181,0.001
D群（歴史文化_西洋史学）,0.076,5.051,0.0,0.029,0.815,0.029
E群（歴史文化_考古学）,0.078,0.033,0.002,0.693,0.841,0.001
F群（歴史文化_美術史学）,0.065,0.031,1.053,0.176,0.193,0.002
G群（言語文化）,1.084,12.556,0.0,1.119,0.238,0.0
H群（心理学）,0.075,0.03,1.974,0.96,0.961,0.0
I群（社会心理学）,1.033,1.859,0.0,0.045,0.063,0.0
J群（社会学）,1.171,0.026,5.343,0.164,0.295,0.001
基礎教育学,0.977,0.022,0.073,0.612,1.109,0.003
比較教育社会学,0.072,0.026,1.775,0.035,0.092,0.0
教育実践・政策学,0.067,0.024,1.823,0.098,1.948,0.001
教育心理学,0.062,0.036,0.851,0.002,0.049,0.0
身体教育学,0.819,3.176,0.014,0.092,0.161,0.001
薬学部,0.001,0.0,0.0,0.067,0.193,0.0
医学,0.0,0.0,0.583,0.0,0.417,0.0
健康総合科学,0.087,0.969,1.596,0.001,0.004,0.0
超域文化科学,0.032,0.026,0.814,0.049,0.079,0.0
地域文化研究,0.0,0.034,0.0,1.026,0.94,0.0
総合社会科学,0.005,0.002,0.877,0.037,0.079,0.0
数理自然科学,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.097,0.051,0.034,0.279,0.28,0.0
認知行動科学,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.074,0.024,0.8,0.129,0.157,0.0
学際科学科国際環境学コース,0.084,0.972,0.033,0.165,0.238,0.0
生命化学・工学,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.071,0.038,0.027,0.217,0.112,0.0
水圏生物科学,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.066,0.001,0.015,0.918,0.0
生物素材化学,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.076,1.827,0.019,0.941,4.217,0.0
木質構造科学,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.001,0.001,0.002,0.008,0.019,0.0
農業・資源経済学,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.036,0.817,0.057,0.089,0.001
国際開発農学,0.057,0.031,1.802,0.043,3.067,0.0
獣医学課程獣医学,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.321,0.012,0.002,0.0,1.665,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.024,0.001,0.004,1.971,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,0.0,0.0,0.0
機械工学B,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,0.0,0.0,0.0
精密工学,0.0,0.012,0.0,0.011,2.977,0.0
電子情報工学,1.763,0.041,0.0,3.735,4.46,0.0
電気電子工学,0.0,0.0,0.0,0.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,4.151,0.849,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.065,0.0,0.004,0.001,2.929,0.001
マテリアル工学A,0.001,0.0,0.0,0.471,1.312,0.0
マテリアル工学B,0.0,0.0,0.0,0.0,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,0.0,0.0,0.0
応用化学,0.0,0.0,0.0,0.0,0.0,0.0
化学システム工学,0.0,0.0,0.0,0.0,2.0,0.0
化学生命工学,0.0,0.0,0.0,0.0,1.0,0.0
システム創成A,0.0,0.03,0.019,0.264,0.349,0.0
システム創成B,0.0,0.0,0.0,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0,0.0,0.0,0.0
数学,0.0,0.0,0.0,12.845,0.155,0.0
情報科学,0.0,0.0,0.0,8.049,1.95,0.001
物理学,0.0,0.0,0.0,18.752,2.248,0.0
天文学,0.002,0.0,0.0,3.874,0.124,0.0
地球惑星物理学,0.002,0.0,0.0,7.946,2.052,0.0
地球惑星環境学,0.0,0.0,0.0,1.913,0.087,0.0
化学,0.0,0.0,0.0,0.0,0.0,0.0
生物化学,0.0,0.0,0.0,0.0,0.0,0.0
生物情報科学,0.0,0.0,0.0,0.0,0.0,0.0
生物学,0.0,0.001,0.0,4.797,5.199,0.003
