,l1,l2,l3,s1,s2,s3
法学部,11.46,3.408,6.354,3.819,3.215,0.0
経済学部,0.626,0.862,2.687,6.96,6.865,0.0
A群（思想文化）,0.372,3.762,0.809,2.707,2.738,0.0
B群（歴史文化_日本史学）,0.207,2.126,0.02,0.542,0.447,0.0
C群（歴史文化_東洋史学）,0.183,3.082,0.0,0.508,0.367,0.0
D群（歴史文化_西洋史学）,0.147,2.771,0.389,0.433,1.007,0.0
E群（歴史文化_考古学）,0.105,0.853,0.0,0.512,0.913,0.0
F群（歴史文化_美術史学）,0.091,0.664,0.0,0.529,0.521,0.0
G群（言語文化）,0.425,7.543,0.022,2.287,2.631,0.0
H群（心理学）,0.122,0.004,2.215,0.567,1.092,0.0
I群（社会心理学）,0.093,0.002,1.659,0.374,0.872,0.0
J群（社会学）,0.22,0.025,5.114,0.336,1.305,0.0
基礎教育学,0.016,0.817,0.082,0.06,0.419,0.0
比較教育社会学,0.035,0.454,0.541,0.178,0.259,0.0
教育実践・政策学,0.009,0.735,0.204,0.336,0.405,0.0
教育心理学,0.038,0.285,0.285,0.062,0.094,0.0
身体教育学,0.035,1.467,0.271,0.175,0.887,0.0
薬学部,0.0,0.0,0.0,0.212,0.434,0.0
医学,0.0,0.0,0.123,0.0,0.094,0.0
健康総合科学,0.036,0.227,0.698,0.0,0.0,0.0
超域文化科学,0.008,0.099,0.034,0.382,0.467,0.0
地域文化研究,0.014,0.384,0.141,0.629,0.65,0.0
総合社会科学,0.0,0.006,0.346,0.31,0.296,0.0
数理自然科学,0.0,0.0,0.0,0.0,0.0,0.0
物質基礎科学,0.0,0.0,0.0,0.0,0.0,0.0
統合生命科学,0.015,0.092,0.061,0.256,0.273,0.0
認知行動科学,0.0,0.0,0.0,0.0,0.0,0.0
Ａ 群,0.0,0.0,0.0,0.0,0.0,0.0
Ｂ 群,0.0,0.0,0.0,0.0,0.0,0.0
教養学科国際日本研究コース,0.032,0.265,0.244,0.167,0.082,0.0
学際科学科国際環境学コース,0.011,0.534,0.206,0.181,0.421,0.0
生命化学・工学,0.0,0.0,0.0,0.0,0.0,0.0
応用生物学,0.0,0.0,0.0,0.0,0.0,0.0
森林生物科学,0.011,0.253,0.142,0.426,1.441,0.0
水圏生物科学,0.0,0.0,0.0,0.0,0.0,0.0
動物生命システム科学,0.0,0.0,0.0,0.0,0.0,0.0
生物素材化学,0.0,0.0,0.0,0.0,0.0,0.0
緑地環境学,0.0,0.0,0.0,0.0,0.0,0.0
森林環境資源科学,0.005,0.607,0.178,1.319,4.466,0.0
木質構造科学,0.0,0.0,0.0,0.0,0.0,0.0
生物・環境工学,0.0,0.028,0.011,1.061,3.786,0.0
農業・資源経済学,0.0,0.0,0.0,0.0,0.0,0.0
フィールド科学,0.0,0.034,0.078,0.135,0.744,0.0
国際開発農学,0.045,0.229,0.84,0.689,3.154,0.0
獣医学課程獣医学,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ａ（設計・技術戦略）,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｂ（政策・計画）社会基盤学Ｃ,0.0,0.0,0.0,0.0,0.0,0.0
社会基盤学Ｃ（国際プロジェクト）,0.0,0.0,0.0,0.0,0.0,0.0
建築学,0.016,0.03,0.186,0.064,1.673,0.0
都市環境工学（環境共生・国際公共衛生・水・環境ﾊﾞｲｵ）,0.0,0.016,0.086,0.134,1.764,0.0
都市計画（都市と地域の分析・計画・ﾃﾞｻﾞｲﾝ）,0.0,0.0,0.0,0.0,0.0,0.0
機械工学A（ﾃﾞｻﾞｲﾝ・ｴﾈﾙｷﾞｰ・ﾀﾞｲﾅﾐｸｽ）,0.0,0.0,0.0,0.0,0.0,0.0
機械工学B,0.0,0.0,0.0,0.0,0.0,0.0
航空宇宙学,0.0,0.0,0.0,0.0,0.0,0.0
精密工学,0.0,0.0,0.004,0.842,2.154,0.0
電子情報工学,0.007,0.0,0.0,6.452,3.541,0.0
電気電子工学,0.0,0.0,0.0,0.0,0.0,0.0
応用物理・物理工学,0.0,0.0,0.0,0.993,2.007,0.0
計数工学・数理/ｼｽﾃﾑ情報,0.007,0.0,0.062,0.535,2.396,0.0
マテリアル工学A,0.0,0.0,0.0,0.253,1.743,0.0
マテリアル工学B,0.0,0.0,0.0,0.0,0.0,0.0
マテリアル工学C (ﾅﾉ・機能ﾏﾃﾘｱﾙ）,0.0,0.0,0.0,0.0,0.0,0.0
応用化学,0.0,0.0,0.0,0.0,0.0,0.0
化学システム工学,0.0,0.0,0.0,0.0,0.0,0.0
化学生命工学,0.0,0.0,0.0,0.258,0.256,0.0
システム創成A,0.0,0.003,0.041,0.582,2.369,0.0
システム創成B,0.0,0.0,0.0,0.0,0.0,0.0
システム創成C,0.0,0.0,0.0,0.0,0.0,0.0
数学,0.0,0.0,0.0,8.512,1.735,0.0
情報科学,0.0,0.0,0.0,7.791,2.209,0.0
物理学,0.0,0.0,0.0,15.388,2.547,0.0
天文学,0.0,0.0,0.0,2.909,0.99,0.0
地球惑星物理学,0.0,0.0,0.0,7.671,2.193,0.0
地球惑星環境学,0.0,0.0,0.0,1.148,0.78,0.0
化学,0.0,0.0,0.0,0.0,0.0,0.0
生物化学,0.0,0.0,0.0,0.0,0.0,0.0
生物情報科学,0.0,0.0,0.0,0.0,0.0,0.0
生物学,0.0,0.0,0.0,2.329,5.77,0.0
